"ED","AC","Report","GUID"
"Donaghmore, Laois","Laois County Council","<a href="".\reports\html\27--csohealthprofile--edname--donaghmore--laois--acname--laois-county-council--edguid--2ae19629-16b7-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\27--csohealthprofile--edname--donaghmore--laois--acname--laois-county-council--edguid--2ae19629-16b7-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b7-13a3-e055-000000000001"
"Donore, Laois","Laois County Council","<a href="".\reports\html\28--csohealthprofile--edname--donore--laois--acname--laois-county-council--edguid--2ae19629-16b8-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\28--csohealthprofile--edname--donore--laois--acname--laois-county-council--edguid--2ae19629-16b8-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b8-13a3-e055-000000000001"
"Doonane, Laois","Laois County Council","<a href="".\reports\html\29--csohealthprofile--edname--doonane--laois--acname--laois-county-council--edguid--2ae19629-16b9-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\29--csohealthprofile--edname--doonane--laois--acname--laois-county-council--edguid--2ae19629-16b9-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b9-13a3-e055-000000000001"
"Borris-In-Ossory, Laois","Laois County Council","<a href="".\reports\html\30--csohealthprofile--edname--borris-in-ossory--laois--acname--laois-county-council--edguid--2ae19629-16ba-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\30--csohealthprofile--edname--borris-in-ossory--laois--acname--laois-county-council--edguid--2ae19629-16ba-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ba-13a3-e055-000000000001"
"Caher, Laois","Laois County Council","<a href="".\reports\html\31--csohealthprofile--edname--caher--laois--acname--laois-county-council--edguid--2ae19629-16bc-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\31--csohealthprofile--edname--caher--laois--acname--laois-county-council--edguid--2ae19629-16bc-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16bc-13a3-e055-000000000001"
"Cappalough, Laois","Laois County Council","<a href="".\reports\html\32--csohealthprofile--edname--cappalough--laois--acname--laois-county-council--edguid--2ae19629-16be-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\32--csohealthprofile--edname--cappalough--laois--acname--laois-county-council--edguid--2ae19629-16be-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16be-13a3-e055-000000000001"
"Cardtown, Laois","Laois County Council","<a href="".\reports\html\33--csohealthprofile--edname--cardtown--laois--acname--laois-county-council--edguid--2ae19629-16bf-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\33--csohealthprofile--edname--cardtown--laois--acname--laois-county-council--edguid--2ae19629-16bf-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16bf-13a3-e055-000000000001"
"Castlecuffe, Laois","Laois County Council","<a href="".\reports\html\34--csohealthprofile--edname--castlecuffe--laois--acname--laois-county-council--edguid--2ae19629-16c0-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\34--csohealthprofile--edname--castlecuffe--laois--acname--laois-county-council--edguid--2ae19629-16c0-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c0-13a3-e055-000000000001"
"Castletown, Laois","Laois County Council","<a href="".\reports\html\35--csohealthprofile--edname--castletown--laois--acname--laois-county-council--edguid--2ae19629-16c1-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\35--csohealthprofile--edname--castletown--laois--acname--laois-county-council--edguid--2ae19629-16c1-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c1-13a3-e055-000000000001"
"Clash, Laois","Laois County Council","<a href="".\reports\html\36--csohealthprofile--edname--clash--laois--acname--laois-county-council--edguid--2ae19629-16c2-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\36--csohealthprofile--edname--clash--laois--acname--laois-county-council--edguid--2ae19629-16c2-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16c2-13a3-e055-000000000001"
